,Potencial Retardador,Corriente,Desfasaje,EscTemporal,EscAmplitud
0,-1.5,-8.2068e-13,1.19727e-12,10,14
1,-1.4747474747474747,-8.66866e-13,1.26477e-12,10,14
2,-1.4494949494949494,-8.63313e-13,1.14753e-12,10,14
3,-1.4242424242424243,-7.95811e-13,9.48581e-13,10,14
4,-1.398989898989899,-7.24757e-13,9.41476e-13,10,14
5,-1.3737373737373737,-3.908e-13,1.00542e-12,10,14
6,-1.3484848484848484,-2.84219e-13,1.06227e-12,10,14
7,-1.3232323232323233,-5.36463e-13,9.02393e-13,10,14
8,-1.297979797979798,-8.45549e-13,9.52134e-13,10,14
9,-1.2727272727272727,-7.38968e-13,9.27265e-13,10,14
10,-1.2474747474747474,-6.96335e-13,9.16607e-13,10,14
11,-1.2222222222222223,-5.79096e-13,1.10135e-12,10,14
12,-1.196969696969697,-6.21728e-13,1.20438e-12,10,14
13,-1.1717171717171717,-6.18176e-13,1.07648e-12,10,14
14,-1.1464646464646464,-3.16193e-13,1.04806e-12,10,14
15,-1.121212121212121,-4.44091e-13,1.08714e-12,10,14
16,-1.095959595959596,-5.32911e-13,1.05516e-12,10,14
17,-1.0707070707070707,-4.58304e-13,1.05161e-12,10,14
18,-1.0454545454545454,-4.86725e-13,1.19372e-12,10,14
19,-1.0202020202020203,-3.26851e-13,1.05872e-12,10,14
20,-0.9949494949494949,-3.05535e-13,1.15109e-12,10,14
21,-0.9696969696969697,-2.94877e-13,1.19727e-12,10,14
22,-0.9444444444444444,-1.81189e-13,1.19727e-12,10,14
23,-0.9191919191919192,-6.7502e-14,1.37135e-12,10,14
24,-0.8939393939393939,1.77637e-13,1.2399e-12,10,14
25,-0.8686868686868687,3.65931e-13,1.27188e-12,10,14
26,-0.8434343434343434,2.30928e-13,1.08003e-12,10,14
27,-0.8181818181818182,3.94353e-13,1.34649e-12,10,14
28,-0.7929292929292929,6.99888e-13,1.19727e-12,10,14
29,-0.7676767676767677,7.46073e-13,1.08003e-12,10,14
30,-0.7424242424242424,9.98319e-13,1.2399e-12,10,14
31,-0.7171717171717172,1.2328e-12,1.1653e-12,10,14
32,-0.6919191919191919,1.57031e-12,1.17951e-12,10,14
33,-0.6666666666666666,1.8865e-12,9.7345e-13,10,14
34,-0.6414141414141414,2.26309e-12,1.08003e-12,10,14
35,-0.6161616161616161,2.62192e-12,1.22569e-12,10,14
36,-0.5909090909090909,2.87771e-12,1.1049e-12,10,14
37,-0.5656565656565656,3.48167e-12,1.14398e-12,10,14
38,-0.5404040404040404,3.72682e-12,1.11201e-12,10,14
39,-0.5151515151515151,4.32368e-12,9.91214e-13,10,14
