,Potencial Retardador,Corriente,Desfasaje,EscTemporal,EscAmplitud
0,-2.0,3.14239e-12,1.08225e-12,10,11
1,-1.9696969696969697,3.18991e-12,1.05561e-12,10,11
2,-1.9393939393939394,3.0478e-12,1.03207e-12,10,11
3,-1.9090909090909092,2.99273e-12,9.20604e-13,10,11
4,-1.878787878787879,3.26585e-12,9.27265e-13,10,11
5,-1.8484848484848484,3.31958e-12,9.27709e-13,10,11
6,-1.8181818181818181,2.91146e-12,7.94035e-13,10,11
7,-1.7878787878787878,3.10242e-12,8.15795e-13,10,11
8,-1.7575757575757576,3.04425e-12,8.54431e-13,10,11
9,-1.7272727272727273,3.20101e-12,9.65901e-13,10,11
10,-1.696969696969697,3.19213e-12,8.5754e-13,10,11
11,-1.6666666666666665,3.13484e-12,1.05117e-12,10,11
12,-1.6363636363636362,2.94655e-12,1.30208e-12,10,11
13,-1.606060606060606,2.89281e-12,9.53466e-13,10,11
14,-1.5757575757575757,3.16815e-12,9.69898e-13,10,11
15,-1.5454545454545454,3.02293e-12,8.55319e-13,10,11
16,-1.5151515151515151,3.20056e-12,8.50878e-13,10,11
17,-1.4848484848484849,3.06689e-12,8.11799e-13,10,11
18,-1.4545454545454546,3.01716e-12,1.12222e-12,10,11
19,-1.4242424242424243,3.18547e-12,1.08891e-12,10,11
20,-1.393939393939394,3.41506e-12,1.08669e-12,10,11
21,-1.3636363636363638,3.3631e-12,8.41553e-13,10,11
22,-1.3333333333333333,3.12773e-12,7.98476e-13,10,11
23,-1.303030303030303,3.18635e-12,9.37035e-13,10,11
24,-1.2727272727272727,3.18058e-12,7.88706e-13,10,11
25,-1.2424242424242424,3.37376e-12,8.48658e-13,10,11
26,-1.2121212121212122,3.24986e-12,8.4777e-13,10,11
27,-1.1818181818181817,3.32669e-12,6.73243e-13,10,11
28,-1.1515151515151514,3.12818e-12,7.78936e-13,10,11
29,-1.121212121212121,3.23298e-12,7.21648e-13,10,11
30,-1.0909090909090908,3.31203e-12,7.82933e-13,10,11
31,-1.0606060606060606,3.36532e-12,5.95527e-13,10,11
32,-1.0303030303030303,3.16282e-12,5.89754e-13,10,11
