,Potencial Retardador,Corriente,Desfasaje,EscTemporal,EscAmplitud
0,-2.0,3.96352e-12,9.40588e-13,10,11
1,-1.9191919191919191,4.05412e-12,9.98764e-13,10,11
2,-1.8383838383838385,4.00749e-12,7.29642e-13,10,11
3,-1.7575757575757576,3.93643e-12,6.70578e-13,10,11
4,-1.6767676767676767,3.90002e-12,7.5762e-13,10,11
5,-1.595959595959596,4.04923e-12,6.44821e-13,10,11
6,-1.5151515151515151,4.05279e-12,5.32022e-13,10,11
7,-1.4343434343434343,4.15404e-12,6.25281e-13,10,11
8,-1.3535353535353534,4.2624e-12,7.37636e-13,10,11
9,-1.2727272727272727,4.01326e-12,6.7191e-13,10,11
10,-1.1919191919191918,3.93022e-12,6.15955e-13,10,11
11,-1.1111111111111112,4.0781e-12,6.09294e-13,10,11
12,-1.0303030303030303,4.19889e-12,4.95163e-13,10,11
13,-0.9494949494949494,4.06122e-12,2.80666e-13,10,11
14,-0.8686868686868685,4.08787e-12,-9.94764e-14,10,11
15,-0.7878787878787878,4.28593e-12,-3.97017e-13,10,11
16,-0.707070707070707,4.20955e-12,-8.50878e-13,10,11
17,-0.6262626262626261,4.10963e-12,-1.52234e-12,10,11
18,-0.5454545454545454,3.85206e-12,-2.72628e-12,10,11
19,-0.46464646464646453,3.69663e-12,-4.14738e-12,10,11
20,-0.38383838383838365,3.70773e-12,-6.27634e-12,10,11
21,-0.303030303030303,3.90268e-12,-8.86186e-12,10,11
22,-0.2222222222222221,3.8787e-12,-1.0922e-11,10,11
23,-0.14141414141414121,2.94699e-12,-1.50698e-11,10,12
24,-0.06060606060606055,2.90258e-12,-1.95791e-11,10,13
25,0.020202020202020332,3.37154e-12,-2.57537e-11,10,13
26,0.10101010101010122,3.77479e-12,-3.08857e-11,10,13
27,0.1818181818181821,3.77834e-12,-3.65932e-11,10,13
28,0.262626262626263,4.55816e-12,-4.26399e-11,10,14
29,0.3434343434343434,4.09275e-12,-4.91769e-11,10,14
30,0.4242424242424243,3.5847e-12,-5.5927e-11,10,14
31,0.5050505050505052,3.27562e-12,-6.27414e-11,10,14
32,0.5858585858585861,2.9985e-12,-6.95803e-11,10,14
33,0.666666666666667,2.79955e-12,-7.62914e-11,10,15
34,0.7474747474747478,2.58639e-12,-8.38942e-11,10,15
35,0.8282828282828287,2.59349e-12,-8.98344e-11,10,15
36,0.9090909090909092,2.72139e-12,-9.61866e-11,10,15
37,0.9898989898989901,2.55086e-12,-1.02695e-10,10,15
38,1.070707070707071,2.40165e-12,-1.08685e-10,10,15
39,1.1515151515151518,2.25954e-12,-1.14782e-10,10,15
40,1.2323232323232327,2.03217e-12,-1.21212e-10,10,15
41,1.3131313131313136,1.91848e-12,-1.27323e-10,10,15
42,1.393939393939394,1.89716e-12,-1.32965e-10,10,15
43,1.474747474747475,1.97532e-12,-1.38606e-10,10,15
44,1.5555555555555558,2.02506e-12,-1.44333e-10,10,15
45,1.6363636363636367,1.99664e-12,-1.50146e-10,10,15
46,1.7171717171717176,1.71241e-12,-1.55816e-10,10,15
