,Potencial Retardador,Corriente,Desfasaje,EscTemporal,EscAmplitud
0,-3.0,3.23654e-12,-7.78048e-13,9,14
1,-2.95959595959596,3.50654e-12,1.14753e-12,9,14
2,-2.919191919191919,4.02525e-12,-2.31105e-12,9,13
3,-2.878787878787879,3.91157e-12,2.55797e-13,9,12
4,-2.8383838383838382,4.15715e-12,1.90693e-12,9,11
5,-2.797979797979798,3.21256e-12,1.45351e-12,9,11
6,-2.757575757575758,2.96298e-12,7.41188e-13,9,11
7,-2.717171717171717,2.55974e-12,9.24157e-13,9,11
8,-2.676767676767677,3.03403e-12,7.47406e-13,9,11
9,-2.6363636363636362,3.25208e-12,1.28254e-12,9,11
10,-2.595959595959596,3.48833e-12,7.21648e-13,9,11
11,-2.5555555555555554,3.60513e-12,9.60128e-13,9,11
12,-2.515151515151515,3.41906e-12,1.19594e-12,9,11
13,-2.474747474747475,3.07444e-12,1.21459e-12,9,11
14,-2.4343434343434343,2.87638e-12,1.15553e-12,9,11
15,-2.393939393939394,3.07267e-12,6.34607e-13,9,11
16,-2.3535353535353534,3.22899e-12,7.84709e-13,9,11
17,-2.313131313131313,3.00827e-12,1.26388e-12,9,11
18,-2.2727272727272725,3.26096e-12,9.72118e-13,9,11
19,-2.2323232323232323,2.94122e-12,8.76636e-13,9,11
20,-2.191919191919192,3.01627e-12,1.1875e-12,9,11
21,-2.1515151515151514,3.34356e-12,9.16607e-13,9,11
22,-2.111111111111111,3.04513e-12,8.02917e-13,9,11
23,-2.0707070707070705,3.01804e-12,1.17151e-12,9,11
24,-2.0303030303030303,2.84352e-12,5.59556e-13,9,11
25,-1.9898989898989898,2.61215e-12,9.13943e-13,9,11
26,-1.9494949494949494,3.29471e-12,9.43252e-13,9,11
27,-1.909090909090909,3.21788e-12,7.81156e-13,9,11
28,-1.8686868686868685,3.25341e-12,1.20615e-12,9,11
29,-1.8282828282828283,3.17703e-12,9.04169e-13,9,11
30,-1.7878787878787878,2.89548e-12,8.36668e-13,9,11
31,-1.7474747474747474,2.79067e-12,1.07781e-12,9,11
32,-1.707070707070707,3.16504e-12,7.90926e-13,9,11
33,-1.6666666666666665,3.29871e-12,1.1573e-12,9,11
34,-1.626262626262626,3.2845e-12,9.25489e-13,9,11
35,-1.5858585858585856,3.27606e-12,6.90562e-13,9,11
36,-1.5454545454545454,2.58284e-12,9.74339e-13,9,11
37,-1.505050505050505,3.18635e-12,9.77891e-13,9,11
38,-1.4646464646464645,2.95543e-12,9.67233e-13,9,11
39,-1.424242424242424,3.07977e-12,1.0263e-12,9,11
40,-1.3838383838383836,2.99007e-12,7.73607e-13,9,11
41,-1.3434343434343432,3.32757e-12,1.08092e-12,9,11
42,-1.303030303030303,3.08954e-12,6.95003e-13,9,11
43,-1.2626262626262625,3.55406e-12,8.32671e-13,9,11
44,-1.222222222222222,3.20145e-12,6.75019e-13,9,11
45,-1.1818181818181817,3.35244e-12,7.92703e-13,9,11
46,-1.1414141414141412,2.95187e-12,5.7954e-13,9,11
47,-1.1010101010101008,3.32313e-12,8.34003e-13,9,11
48,-1.0606060606060606,2.93278e-12,5.88866e-13,9,11
49,-1.02020202020202,3.21389e-12,8.73083e-13,9,11
50,-0.9797979797979797,3.26496e-12,8.76636e-13,9,11
51,-0.939393939393939,3.26585e-12,6.67914e-13,9,11
52,-0.8989898989898988,3.0931e-12,5.89754e-13,9,11
53,-0.8585858585858586,3.36843e-12,4.1034e-13,9,11
54,-0.8181818181818179,3.26407e-12,-2.07391e-13,9,11
55,-0.7777777777777777,3.27206e-12,-1.03029e-13,9,11
56,-0.737373737373737,3.15038e-12,-3.18414e-13,9,11
57,-0.6969696969696968,3.69263e-12,-2.89548e-13,9,11
58,-0.6565656565656566,2.84707e-12,-7.6961e-13,9,11
59,-0.6161616161616159,3.00339e-12,-1.44285e-12,9,11
60,-0.5757575757575757,3.27606e-12,-1.36292e-12,9,11
61,-0.535353535353535,3.20145e-12,-2.23289e-12,9,11
62,-0.4949494949494948,3.07489e-12,-2.80621e-12,9,11
63,-0.45454545454545414,3.18902e-12,-3.59314e-12,9,11
64,-0.4141414141414139,3.57982e-12,-4.67495e-12,9,11
65,-0.3737373737373737,3.18191e-12,-5.24161e-12,9,11
66,-0.33333333333333304,3.23876e-12,-5.96814e-12,9,11
67,-0.2929292929292928,2.36257e-12,-8.63226e-12,9,12
68,-0.25252525252525215,3.16903e-12,-8.95645e-12,9,12
69,-0.21212121212121193,2.88837e-12,-1.01084e-11,9,12
70,-0.17171717171717127,3.25519e-12,-1.1565e-11,9,12
71,-0.13131313131313105,3.20634e-12,-1.3432e-11,9,12
72,-0.09090909090909083,1.63248e-12,-1.51773e-11,9,13
73,-0.050505050505050164,2.98962e-12,-1.66943e-11,9,13
74,-0.010101010101009944,2.97008e-12,-1.88402e-11,9,13
75,0.03030303030303072,2.88659e-12,-2.06094e-11,9,13
76,0.07070707070707094,2.82975e-12,-2.22063e-11,9,13
77,0.11111111111111116,2.67165e-12,-2.46844e-11,9,13
78,0.15151515151515182,2.84751e-12,-2.68444e-11,9,13
79,0.19191919191919204,2.86172e-12,-2.94433e-11,9,13
80,0.2323232323232327,3.02515e-12,-3.14666e-11,9,13
81,0.27272727272727293,2.56863e-12,-3.40121e-11,9,13
82,0.3131313131313136,2.36612e-12,-3.5975e-11,9,13
83,0.3535353535353538,1.79057e-12,-3.69804e-11,9,14
84,0.39393939393939403,3.00206e-12,-4.09346e-11,9,14
85,0.4343434343434347,2.35902e-12,-4.3251e-11,9,14
86,0.4747474747474749,2.73916e-12,-4.5109e-11,9,14
87,0.5151515151515156,2.55442e-12,-4.81928e-11,9,14
88,0.5555555555555558,2.41941e-12,-5.0431e-11,9,14
89,0.5959595959595965,2.62192e-12,-5.2893e-11,9,14
90,0.6363636363636367,2.36967e-12,-5.46694e-11,9,14
91,0.6767676767676769,2.14585e-12,-5.77034e-11,9,14
92,0.7171717171717176,1.77281e-12,-5.9551e-11,9,14
93,0.7575757575757578,2.2702e-12,-6.18532e-11,9,14
94,0.7979797979797985,2.10322e-12,-6.43401e-11,9,14
95,0.8383838383838387,2.05348e-12,-6.69442e-11,9,14
96,0.8787878787878789,1.64136e-12,-6.8987e-11,9,14
97,0.9191919191919196,2.04282e-12,-7.13567e-11,9,14
98,0.9595959595959598,2.16006e-12,-7.36056e-11,9,14
99,1.0,1.83321e-12,-7.6295e-11,9,14
