,Potencial Retardador,Corriente,Desfasaje,EscTemporal,EscAmplitud,Fecha de medicion,Tiempo Integracion,Frec de Señal
0,-3.0,1.77175e-11,3.87071e-12,10,13,Fri Aug 30 08:57:39 2024,{1},{2.023}
1,-2.9393939393939394,1.78347e-11,4.02525e-12,10,13,,,
2,-2.878787878787879,1.77974e-11,3.98084e-12,10,13,,,
3,-2.8181818181818183,1.77175e-11,3.83341e-12,10,13,,,
4,-2.757575757575758,1.77388e-11,3.92755e-12,10,13,,,
5,-2.696969696969697,1.77974e-11,3.97019e-12,10,13,,,
6,-2.6363636363636362,1.77797e-11,3.91334e-12,10,13,,,
7,-2.5757575757575757,1.76305e-11,3.924e-12,10,13,,,
8,-2.515151515151515,1.76429e-11,3.74281e-12,10,13,,,
9,-2.4545454545454546,1.77566e-11,3.74992e-12,10,13,,,
10,-2.393939393939394,1.77228e-11,3.6913e-12,10,13,,,
11,-2.333333333333333,1.77761e-11,3.6611e-12,10,13,,,
12,-2.2727272727272725,1.78703e-11,3.6984e-12,10,13,,,
13,-2.212121212121212,1.79129e-11,3.67531e-12,10,13,,,
14,-2.1515151515151514,1.77264e-11,3.60247e-12,10,13,,,
15,-2.090909090909091,1.78951e-11,3.7286e-12,10,13,,,
16,-2.0303030303030303,1.78028e-11,3.63089e-12,10,13,,,
17,-1.9696969696969697,1.79715e-11,3.58825e-12,10,13,,,
18,-1.9090909090909092,1.78436e-11,3.55983e-12,10,13,,,
19,-1.8484848484848484,1.78223e-11,3.50654e-12,10,13,,,
20,-1.7878787878787878,1.78969e-11,3.4195e-12,10,13,,,
21,-1.7272727272727273,1.77548e-11,3.51898e-12,10,13,,,
22,-1.6666666666666665,1.77939e-11,3.4568e-12,10,13,,,
23,-1.606060606060606,1.78489e-11,3.44437e-12,10,13,,,
24,-1.5454545454545454,1.79289e-11,3.26141e-12,10,13,,,
25,-1.4848484848484849,1.79431e-11,3.33956e-12,10,13,,,
26,-1.4242424242424243,1.80266e-11,3.36799e-12,10,13,,,
27,-1.3636363636363635,1.79484e-11,3.27384e-12,10,13,,,
28,-1.303030303030303,1.79395e-11,3.16015e-12,10,13,,,
29,-1.2424242424242424,1.78525e-11,3.08199e-12,10,13,,,
30,-1.1818181818181817,1.78951e-11,3.09976e-12,10,13,,,
31,-1.121212121212121,1.77921e-11,2.90791e-12,10,13,,,
32,-1.0606060606060606,1.79218e-11,3.00561e-12,10,13,,,
33,-1.0,1.79129e-11,2.70718e-12,10,13,,,
34,-0.9393939393939394,1.80017e-11,2.80843e-12,10,13,,,
35,-0.8787878787878789,1.7856e-11,2.76935e-12,10,13,,,
36,-0.8181818181818183,1.80177e-11,2.76758e-12,10,13,,,
37,-0.7575757575757573,1.79822e-11,2.65922e-12,10,13,,,
38,-0.6969696969696968,1.7904e-11,2.53665e-12,10,13,,,
39,-0.6363636363636362,1.78205e-11,2.15651e-12,10,13,,,
40,-0.5757575757575757,1.78259e-11,1.97888e-12,10,13,,,
41,-0.5151515151515151,1.80372e-11,1.61472e-12,10,13,,,
42,-0.4545454545454546,1.80692e-11,1.38024e-12,10,13,,,
43,-0.39393939393939403,1.79822e-11,6.34163e-13,10,13,,,
44,-0.33333333333333304,1.79093e-11,-3.55274e-15,10,13,,,
45,-0.2727272727272725,1.79236e-11,-4.22775e-13,10,13,,,
46,-0.21212121212121193,1.78063e-11,-9.96543e-13,10,13,,,
47,-0.15151515151515138,1.77992e-11,-2.01618e-12,10,13,,,
48,-0.09090909090909083,1.76891e-11,-2.79778e-12,10,13,,,
49,-0.030303030303030276,1.78632e-11,-3.60957e-12,10,13,,,
50,0.030303030303030276,1.78614e-11,-4.67007e-12,10,13,,,
51,0.09090909090909083,1.79058e-11,-5.6897e-12,10,13,,,
52,0.15151515151515138,1.78294e-11,-6.77861e-12,10,13,,,
53,0.21212121212121238,1.79431e-11,-7.87287e-12,10,13,,,
54,0.27272727272727293,1.77477e-11,-9.03461e-12,10,13,,,
55,0.3333333333333335,1.76535e-11,-1.03242e-11,10,13,,,
56,0.39393939393939403,1.77726e-11,-1.14274e-11,10,13,,,
57,0.4545454545454546,1.77601e-11,-1.26264e-11,10,13,,,
58,0.5151515151515151,1.74208e-11,-1.38041e-11,10,13,,,
59,0.5757575757575757,1.74262e-11,-1.49304e-11,10,13,,,
60,0.6363636363636367,1.75239e-11,-1.6355e-11,10,13,,,
61,0.6969696969696972,1.74155e-11,-1.7499e-11,10,13,,,
62,0.7575757575757578,1.74137e-11,-1.86803e-11,10,13,,,
63,0.8181818181818183,1.74688e-11,-1.99291e-11,10,13,,,
64,0.8787878787878789,1.74972e-11,-2.12116e-11,10,13,,,
65,0.9393939393939394,1.75789e-11,-2.23964e-11,10,13,,,
66,1.0,1.73516e-11,-2.3551e-11,10,13,,,
67,1.0606060606060606,1.74546e-11,-2.47572e-11,10,13,,,
68,1.121212121212121,1.75736e-11,-2.56578e-11,10,13,,,
69,1.1818181818181817,1.72112e-11,-2.67467e-11,10,13,,,
70,1.2424242424242422,1.74297e-11,-2.79333e-11,10,13,,,
71,1.3030303030303028,1.75008e-11,-2.92391e-11,10,13,,,
