,Potencial Retardador,Corriente,Desfasaje,X,Y,EscTemporal,EscAmplitud,Fecha de medicion,Tiempo Integracion,Frec de Señal,Tiempo de espera
0,-1.5,1.8389e-11,6.636,1.82646e-11,2.12454e-12,10,13,Fri Aug 30 11:06:36 2024,{1},{2.023},3.0
1,-1.469387755102041,1.86892e-11,6.756,1.85595e-11,2.19737e-12,10,13,,,,
2,-1.4387755102040816,1.87158e-11,6.57,1.85932e-11,2.14052e-12,10,13,,,,
3,-1.4081632653061225,1.86074e-11,7.146,1.84636e-11,2.31461e-12,10,13,,,,
4,-1.3775510204081634,1.85275e-11,6.648,1.84032e-11,2.14408e-12,10,13,,,,
5,-1.346938775510204,1.85293e-11,6.732,1.84014e-11,2.17072e-12,10,13,,,,
6,-1.316326530612245,1.87158e-11,6.984,1.8579e-11,2.27553e-12,10,13,,,,
7,-1.2857142857142858,1.85328e-11,6.84,1.84014e-11,2.20625e-12,10,13,,,,
8,-1.2551020408163265,1.85471e-11,6.06,1.8444e-11,1.95756e-12,10,13,,,,
9,-1.2244897959183674,1.85577e-11,6.36,1.84458e-11,2.05348e-12,10,13,,,,
10,-1.193877551020408,1.84884e-11,6.438,1.83712e-11,2.07302e-12,10,13,,,,
11,-1.163265306122449,1.84405e-11,5.496,1.83552e-11,1.76571e-12,10,13,,,,
12,-1.1326530612244898,1.84032e-11,6.108,1.82984e-11,1.95756e-12,10,13,,,,
13,-1.1020408163265305,1.84991e-11,6.39,1.83854e-11,2.05704e-12,10,13,,,,
14,-1.0714285714285714,1.85328e-11,6.402,1.84192e-11,2.06592e-12,10,13,,,,
15,-1.0408163265306123,1.83534e-11,6.258,1.82433e-11,1.99842e-12,10,13,,,,
16,-1.010204081632653,1.83286e-11,6.12,1.82238e-11,1.95223e-12,10,13,,,,
17,-0.9795918367346939,1.85186e-11,5.958,1.84192e-11,1.92026e-12,10,13,,,,
18,-0.9489795918367347,1.84618e-11,6.366,1.83481e-11,2.04638e-12,10,13,,,,
19,-0.9183673469387755,1.83659e-11,5.922,1.82682e-11,1.89361e-12,10,13,,,,
20,-0.8877551020408163,1.8492e-11,6.156,1.83854e-11,1.98243e-12,10,13,,,,
21,-0.8571428571428572,1.82984e-11,6.096,1.81953e-11,1.94157e-12,10,13,,,,
22,-0.826530612244898,1.83197e-11,6.054,1.82184e-11,1.93091e-12,10,13,,,,
23,-0.7959183673469388,1.83641e-11,5.724,1.82717e-11,1.83144e-12,10,13,,,,
24,-0.7653061224489797,1.83996e-11,5.22,1.83232e-11,1.67334e-12,10,13,,,,
25,-0.7346938775510204,1.83641e-11,5.436,1.82806e-11,1.73906e-12,10,13,,,,
26,-0.7040816326530612,1.83907e-11,5.364,1.83108e-11,1.71952e-12,10,13,,,,
27,-0.673469387755102,1.84174e-11,4.806,1.83517e-11,1.54188e-12,10,13,,,,
28,-0.6428571428571429,1.85062e-11,4.176,1.84565e-11,1.34826e-12,10,13,,,,
29,-0.6122448979591837,1.85257e-11,4.482,1.84689e-11,1.44774e-12,10,13,,,,
30,-0.5816326530612245,1.83943e-11,4.056,1.83481e-11,1.3003e-12,10,13,,,,
31,-0.5510204081632654,1.83108e-11,3.438,1.82788e-11,1.0978e-12,10,13,,,,
32,-0.5204081632653061,1.82397e-11,3.114,1.82131e-11,9.89438e-13,10,13,,,,
33,-0.48979591836734704,1.82238e-11,2.556,1.82042e-11,8.11799e-13,10,13,,,,
34,-0.4591836734693877,1.81261e-11,1.914,1.81172e-11,6.03965e-13,10,13,,,,
35,-0.4285714285714286,1.8238e-11,1.404,1.82326e-11,4.45867e-13,10,13,,,,
36,-0.3979591836734695,1.8412e-11,0.984,1.84085e-11,3.16193e-13,10,13,,,,
37,-0.36734693877551017,1.83623e-11,-0.33,1.83623e-11,-1.08358e-13,10,13,,,,
38,-0.33673469387755106,1.84174e-11,-0.75,1.84156e-11,-2.43363e-13,10,13,,,,
39,-0.30612244897959195,1.84458e-11,-1.614,1.84405e-11,-5.20476e-13,10,13,,,,
40,-0.2755102040816326,1.84547e-11,-3.264,1.84245e-11,-1.05339e-12,10,13,,,,
41,-0.24489795918367352,1.8412e-11,-4.008,1.83659e-11,-1.28787e-12,10,13,,,,
42,-0.2142857142857144,1.84209e-11,-5.01,1.83517e-11,-1.60939e-12,10,13,,,,
43,-0.18367346938775508,1.83588e-11,-5.682,1.82682e-11,-1.819e-12,10,13,,,,
44,-0.15306122448979598,1.8325e-11,-7.08,1.81847e-11,-2.25954e-12,10,13,,,,
45,-0.12244897959183687,1.83836e-11,-8.46,1.81829e-11,-2.70541e-12,10,13,,,,
46,-0.09183673469387754,1.8389e-11,-9.57,1.81332e-11,-3.05712e-12,10,13,,,,
47,-0.061224489795918435,1.83747e-11,-11.61,1.79982e-11,-3.6984e-12,10,13,,,,
48,-0.03061224489795933,1.87425e-11,-12.678,1.82859e-11,-4.11407e-12,10,13,,,,
49,0.0,1.88188e-11,-14.166,1.82468e-11,-4.60612e-12,10,13,,,,
