,Potencial Retardador,Corriente,Desfasaje,X,Y,EscTemporal,EscAmplitud,Fecha de medicion,Tiempo Integracion,Frec de Señal,Tiempo de espera
0,-1.5,1.74599e-11,-5.226,1.73871e-11,-1.59162e-12,10,13,Fri Aug 30 11:36:41 2024,{1},{2.023},3.0
1,-1.4747474747474747,1.74706e-11,-3.282,1.74422e-11,-1.0001e-12,10,13,,,,
2,-1.4494949494949494,1.75558e-11,-3.972,1.75132e-11,-1.21681e-12,10,13,,,,
3,-1.4242424242424243,1.75381e-11,-3.864,1.7499e-11,-1.18306e-12,10,13,,,,
4,-1.398989898989899,1.75416e-11,-3.654,1.75061e-11,-1.11911e-12,10,13,,,,
5,-1.3737373737373737,1.74581e-11,-3.726,1.74208e-11,-1.1351e-12,10,13,,,,
6,-1.3484848484848484,1.72947e-11,-4.788,1.72343e-11,-1.44419e-12,10,13,,,,
7,-1.3232323232323233,1.75701e-11,-4.272,1.75221e-11,-1.30918e-12,10,13,,,,
8,-1.297979797979798,1.74066e-11,-4.386,1.73551e-11,-1.33227e-12,10,13,,,,
9,-1.2727272727272727,1.7483e-11,-4.902,1.74208e-11,-1.49392e-12,10,13,,,,
10,-1.2474747474747474,1.74741e-11,-4.656,1.74173e-11,-1.41932e-12,10,13,,,,
11,-1.2222222222222223,1.7332e-11,-4.968,1.72663e-11,-1.5028e-12,10,13,,,,
12,-1.196969696969697,1.74457e-11,-5.316,1.73693e-11,-1.61827e-12,10,13,,,,
13,-1.1717171717171717,1.75008e-11,-4.92,1.74351e-11,-1.50103e-12,10,13,,,,
14,-1.1464646464646464,1.74404e-11,-5.124,1.73693e-11,-1.55787e-12,10,13,,,,
15,-1.121212121212121,1.75967e-11,-5.55,1.7515e-11,-1.70176e-12,10,13,,,,
16,-1.095959595959596,1.74812e-11,-5.112,1.7412e-11,-1.55787e-12,10,13,,,,
17,-1.0707070707070707,1.74191e-11,-4.572,1.7364e-11,-1.38912e-12,10,13,,,,
18,-1.0454545454545454,1.74066e-11,-5.046,1.73391e-11,-1.533e-12,10,13,,,,
19,-1.0202020202020203,1.7499e-11,-6.12,1.73977e-11,-1.86519e-12,10,13,,,,
20,-0.9949494949494949,1.73604e-11,-5.52,1.72805e-11,-1.67156e-12,10,13,,,,
21,-0.9696969696969697,1.74066e-11,-6.504,1.72947e-11,-1.97177e-12,10,13,,,,
22,-0.9444444444444444,1.73942e-11,-6.822,1.72716e-11,-2.06769e-12,10,13,,,,
23,-0.9191919191919192,1.74564e-11,-6.234,1.73533e-11,-1.89539e-12,10,13,,,,
24,-0.8939393939393939,1.75328e-11,-7.062,1.73995e-11,-2.15651e-12,10,13,,,,
25,-0.8686868686868687,1.75754e-11,-7.2,1.74368e-11,-2.20447e-12,10,13,,,,
26,-0.8434343434343434,1.75256e-11,-6.768,1.74031e-11,-2.06592e-12,10,13,,,,
27,-0.8181818181818182,1.76447e-11,-7.488,1.74954e-11,-2.3004e-12,10,13,,,,
28,-0.7929292929292929,1.75292e-11,-6.78,1.74049e-11,-2.07125e-12,10,13,,,,
29,-0.7676767676767677,1.74457e-11,-7.422,1.72983e-11,-2.25421e-12,10,13,,,,
30,-0.7424242424242424,1.76038e-11,-7.86,1.74386e-11,-2.40875e-12,10,13,,,,
31,-0.7171717171717172,1.78116e-11,-8.574,1.76127e-11,-2.65567e-12,10,13,,,,
32,-0.6919191919191919,1.78809e-11,-7.86,1.77139e-11,-2.44606e-12,10,13,,,,
33,-0.6666666666666666,1.79573e-11,-7.938,1.7785e-11,-2.48158e-12,10,13,,,,
34,-0.6414141414141414,1.80479e-11,-8.508,1.78507e-11,-2.66988e-12,10,13,,,,
35,-0.6161616161616161,1.82735e-11,-9.15,1.80408e-11,-2.90791e-12,10,13,,,,
36,-0.5909090909090909,1.82913e-11,-9.324,1.80497e-11,-2.96475e-12,10,13,,,,
37,-0.5656565656565656,1.82859e-11,-9.414,1.80408e-11,-2.99318e-12,10,13,,,,
38,-0.5404040404040404,1.80568e-11,-10.308,1.77655e-11,-3.23298e-12,10,13,,,,
