,Corriente,Desfasaje,X,Y,EscTemporal,EscAmplitud,Fecha de medicion,Tiempo Integracion,Frec de Señal,Tiempo de espera,Volt al LED,Potencial Retardador
0,2.30768e-11,-37.422,1.83268e-11,-1.40244e-11,10,13,Fri Aug 30 12:52:28 2024,{1},{2.023},3.0,5.0,1.0
1,2.30554e-11,-37.704,1.82397e-11,-1.41026e-11,10,13,,,,,,
2,2.3075e-11,-38.148,1.81474e-11,-1.42553e-11,10,13,,,,,,
3,2.30554e-11,-38.364,1.80763e-11,-1.43104e-11,10,13,,,,,,
4,2.31016e-11,-38.31,1.81261e-11,-1.4321e-11,10,13,,,,,,
5,2.31407e-11,-38.274,1.81669e-11,-1.43353e-11,10,13,,,,,,
6,2.3162e-11,-37.962,1.82593e-11,-1.425e-11,10,13,,,,,,
7,2.31798e-11,-38.118,1.82344e-11,-1.43104e-11,10,13,,,,,,
8,2.33006e-11,-38.262,1.8293e-11,-1.44294e-11,10,13,,,,,,
9,2.3281e-11,-38.124,1.83144e-11,-1.43743e-11,10,13,,,,,,
10,2.31247e-11,-37.962,1.82309e-11,-1.42251e-11,10,13,,,,,,
11,2.29577e-11,-37.944,1.81047e-11,-1.41185e-11,10,13,,,,,,
12,2.28618e-11,-37.998,1.80141e-11,-1.40759e-11,10,13,,,,,,
13,2.2757e-11,-37.938,1.79466e-11,-1.39924e-11,10,13,,,,,,
14,2.27464e-11,-38.046,1.79129e-11,-1.40208e-11,10,13,,,,,,
15,2.28885e-11,-38.208,1.79857e-11,-1.41594e-11,10,13,,,,,,
16,2.30448e-11,-37.944,1.8174e-11,-1.41718e-11,10,13,,,,,,
17,2.30945e-11,-38.016,1.81953e-11,-1.42251e-11,10,13,,,,,,
18,2.31389e-11,-38.154,1.81971e-11,-1.42962e-11,10,13,,,,,,
19,2.32349e-11,-38.046,1.82966e-11,-1.4321e-11,10,13,,,,,,
20,2.33041e-11,-37.95,1.83765e-11,-1.43335e-11,10,13,,,,,,
21,2.32739e-11,-38.076,1.83215e-11,-1.43548e-11,10,13,,,,,,
22,2.32135e-11,-38.268,1.82255e-11,-1.43779e-11,10,13,,,,,,
23,2.32011e-11,-38.334,1.81989e-11,-1.43921e-11,10,13,,,,,,
24,2.31674e-11,-38.568,1.81136e-11,-1.44454e-11,10,13,,,,,,
25,2.31389e-11,-38.748,1.80461e-11,-1.44827e-11,10,13,,,,,,
26,2.31887e-11,-38.808,1.80692e-11,-1.45342e-11,10,13,,,,,,
27,2.31762e-11,-38.682,1.80923e-11,-1.44862e-11,10,13,,,,,,
28,2.31443e-11,-38.748,1.80497e-11,-1.4488e-11,10,13,,,,,,
29,2.31389e-11,-38.496,1.81101e-11,-1.44045e-11,10,13,,,,,,
