,Potencial Retardador,Corriente,Desfasaje,EscTemporal,EscAmplitud,Fecha de medicion,Tiempo Integracion,Frec de Señal,Tiempo de espera
0,-3.0,2.4354e-12,1.69554e-11,10,13,Fri Aug 30 09:35:54 2024,{1},{2.023},3.0
1,-2.9393939393939394,2.62547e-12,1.77459e-11,10,13,,,,
2,-2.878787878787879,2.47626e-12,1.79022e-11,10,13,,,,
3,-2.8181818181818183,2.68764e-12,1.78259e-11,10,13,,,,
4,-2.757575757575758,2.87949e-12,1.78276e-11,10,13,,,,
5,-2.696969696969697,3.00916e-12,1.80941e-11,10,13,,,,
6,-2.6363636363636362,3.05712e-12,1.78028e-11,10,13,,,,
7,-2.5757575757575757,2.96298e-12,1.7698e-11,10,13,,,,
8,-2.515151515151515,3.06423e-12,1.78916e-11,10,13,,,,
9,-2.4545454545454546,3.00028e-12,1.78951e-11,10,13,,,,
10,-2.393939393939394,3.14949e-12,1.79733e-11,10,13,,,,
11,-2.333333333333333,3.1868e-12,1.8071e-11,10,13,,,,
12,-2.2727272727272725,3.21344e-12,1.79893e-11,10,13,,,,
13,-2.212121212121212,3.08555e-12,1.79502e-11,10,13,,,,
14,-2.1515151515151514,3.13706e-12,1.79378e-11,10,13,,,,
15,-2.090909090909091,3.32713e-12,1.79928e-11,10,13,,,,
16,-2.0303030303030303,3.32358e-12,1.78862e-11,10,13,,,,
17,-1.9696969696969697,3.30048e-12,1.79413e-11,10,13,,,,
18,-1.9090909090909092,3.35022e-12,1.78099e-11,10,13,,,,
19,-1.8484848484848484,3.41062e-12,1.77477e-11,10,13,,,,
20,-1.7878787878787878,3.29338e-12,1.77903e-11,10,13,,,,
21,-1.7272727272727273,3.05357e-12,1.78383e-11,10,13,,,,
22,-1.6666666666666665,3.16548e-12,1.77939e-11,10,13,,,,
23,-1.606060606060606,3.30048e-12,1.77637e-11,10,13,,,,
24,-1.5454545454545454,3.07311e-12,1.80213e-11,10,13,,,,
25,-1.4848484848484849,3.06068e-12,1.79058e-11,10,13,,,,
26,-1.4242424242424243,3.03936e-12,1.78667e-11,10,13,,,,
27,-1.3636363636363635,3.06956e-12,1.77726e-11,10,13,,,,
28,-1.303030303030303,3.06068e-12,1.78525e-11,10,13,,,,
29,-1.2424242424242424,3.01449e-12,1.77282e-11,10,13,,,,
30,-1.1818181818181817,3.03936e-12,1.76926e-11,10,13,,,,
31,-1.121212121212121,2.99318e-12,1.77672e-11,10,13,,,,
32,-1.0606060606060606,2.92567e-12,1.78685e-11,10,13,,,,
33,-1.0,3.06068e-12,1.78418e-11,10,13,,,,
34,-0.9393939393939394,3.10331e-12,1.78205e-11,10,13,,,,
35,-0.8787878787878789,2.95942e-12,1.7753e-11,10,13,,,,
36,-0.8181818181818183,2.91502e-12,1.80035e-11,10,13,,,,
37,-0.7575757575757573,2.89903e-12,1.80035e-11,10,13,,,,
38,-0.6969696969696968,2.69475e-12,1.77335e-11,10,13,,,,
39,-0.6363636363636362,2.53665e-12,1.77974e-11,10,13,,,,
40,-0.5757575757575757,2.08723e-12,1.77512e-11,10,13,,,,
41,-0.5151515151515151,1.93447e-12,1.7936e-11,10,13,,,,
42,-0.4545454545454546,1.6982e-12,1.79129e-11,10,13,,,,
43,-0.39393939393939403,8.95287e-13,1.77068e-11,10,13,,,,
44,-0.33333333333333304,4.90278e-13,1.78401e-11,10,13,,,,
45,-0.2727272727272725,-2.87772e-13,1.77388e-11,10,13,,,,
46,-0.21212121212121193,-1.35181e-12,1.78667e-11,10,13,,,,
47,-0.15151515151515138,-2.21868e-12,1.78809e-11,10,13,,,,
48,-0.09090909090909083,-3.1566e-12,1.77601e-11,10,13,,,,
49,-0.030303030303030276,-4.17624e-12,1.77885e-11,10,13,,,,
50,0.030303030303030276,-5.58845e-12,1.76198e-11,10,13,,,,
51,0.09090909090909083,-6.79282e-12,1.77548e-11,10,13,,,,
52,0.15151515151515138,-8.15709e-12,1.7586e-11,10,13,,,,
53,0.21212121212121238,-9.24244e-12,1.77175e-11,10,13,,,,
54,0.27272727272727293,-1.0596e-11,1.76358e-11,10,13,,,,
55,0.3333333333333335,-1.20118e-11,1.74262e-11,10,13,,,,
56,0.39393939393939403,-1.32108e-11,1.75452e-11,10,13,,,,
57,0.4545454545454546,-1.45271e-11,1.76891e-11,10,13,,,,
58,0.5151515151515151,-1.60086e-11,1.76891e-11,10,13,,,,
59,0.5757575757575757,-1.71366e-11,1.7515e-11,10,13,,,,
60,0.6363636363636367,-1.83001e-11,1.74759e-11,10,13,,,,
61,0.6969696969696972,-2.00623e-11,1.74759e-11,10,13,,,,
62,0.7575757575757578,-2.15811e-11,1.73693e-11,10,13,,,,
63,0.8181818181818183,-2.30146e-11,1.71118e-11,10,13,,,,
64,0.8787878787878789,-2.41372e-11,1.72894e-11,10,13,,,,
65,0.9393939393939394,-2.57484e-11,1.72379e-11,10,13,,,,
66,1.0,-2.72548e-11,1.71633e-11,10,13,,,,
67,1.0606060606060606,-2.84183e-11,1.7142e-11,10,13,,,,
68,1.121212121212121,-2.96334e-11,1.70389e-11,10,13,,,,
69,1.1818181818181817,-3.07028e-11,1.71455e-11,10,13,,,,
70,1.2424242424242422,-3.21398e-11,1.7197e-11,10,13,,,,
71,1.3030303030303028,-3.30351e-11,1.72201e-11,10,13,,,,
72,1.3636363636363633,-3.41951e-11,1.85169e-11,10,14,,,,
73,1.4242424242424248,-3.54528e-11,1.82007e-11,10,14,,,,
