,Potencial Retardador,Corriente,Desfasaje,EscTemporal,EscAmplitud
0,-3.0,-2.27375e-13,2.27375e-13,9,16
1,-2.877551020408163,-3.69484e-13,3.69484e-13,9,16
2,-2.7551020408163267,-2.55797e-13,5.11594e-13,9,16
3,-2.63265306122449,-5.68439e-14,3.69484e-13,9,16
4,-2.510204081632653,-1.98953e-13,3.12641e-13,9,16
5,-2.387755102040816,-5.68439e-14,5.40016e-13,9,16
6,-2.2653061224489797,-6.25281e-13,2.55797e-13,9,16
7,-2.142857142857143,-1.98953e-13,-2.84219e-14,9,16
8,-2.020408163265306,-2.55797e-13,5.40016e-13,9,16
9,-1.8979591836734695,2.84219e-14,8.24233e-13,9,16
10,-1.7755102040816326,3.12641e-13,3.69484e-13,9,16
11,-1.653061224489796,-8.52656e-14,5.68439e-14,9,16
12,-1.5306122448979593,3.41062e-13,4.26327e-13,9,16
13,-1.4081632653061225,8.52656e-14,5.68439e-14,9,16
14,-1.2857142857142858,2.55797e-13,1.98953e-13,9,16
15,-1.163265306122449,2.84219e-13,7.10546e-13,9,16
16,-1.0408163265306123,4.26327e-13,7.95811e-13,9,16
17,-0.9183673469387754,-1.70531e-13,4.26327e-13,9,16
18,-0.795918367346939,3.12641e-13,6.82124e-13,9,16
19,-0.6734693877551021,1.42109e-13,-8.52656e-14,9,16
20,-0.5510204081632653,2.27375e-13,1.70531e-13,9,16
21,-0.4285714285714288,4.26327e-13,5.40016e-13,9,16
22,-0.30612244897959195,4.26327e-13,4.83173e-13,9,16
23,-0.18367346938775508,2.92745e-12,5.11594e-13,9,16
24,-0.06122448979591866,2.04638e-12,6.25281e-13,9,16
25,0.06122448979591821,6.76439e-12,5.40016e-13,9,16
26,0.18367346938775508,9.40764e-12,3.12641e-13,9,16
27,0.30612244897959195,1.37277e-11,2.84219e-13,9,16
28,0.4285714285714284,1.73942e-11,4.83173e-13,9,16
29,0.5510204081632653,2.25669e-11,1.13688e-13,9,16
30,0.6734693877551021,2.90755e-11,-3.69484e-13,9,16
31,0.7959183673469385,3.36799e-11,-5.11594e-13,9,16
32,0.9183673469387754,3.51863e-11,-1.13688e-13,9,16
33,1.0408163265306118,3.89095e-11,-3.69484e-13,9,16
34,1.1632653061224492,4.31728e-11,-8.24233e-13,9,16
35,1.2857142857142856,4.64697e-11,-8.24233e-13,9,16
36,1.408163265306122,5.19267e-11,-1.02319e-12,9,16
37,1.5306122448979593,5.49394e-11,-8.24233e-13,9,16
38,1.6530612244897958,5.83218e-11,-9.94767e-13,9,16
39,1.7755102040816322,6.09366e-11,-1.50636e-12,9,16
40,1.8979591836734695,6.54272e-11,-1.5632e-12,9,16
41,2.020408163265306,6.93494e-11,-1.36425e-12,9,16
42,2.1428571428571423,7.15379e-11,-1.30741e-12,9,16
43,2.2653061224489797,7.35842e-11,-2.18849e-12,9,16
44,2.387755102040816,5.07614e-11,-1.08003e-12,9,16
45,2.5102040816326525,7.6597e-11,-1.30741e-12,9,16
46,2.63265306122449,8.19402e-11,-2.16006e-12,9,16
47,2.7551020408163263,8.67151e-11,-1.79057e-12,9,16
48,2.8775510204081627,9.01825e-11,-2.41586e-12,9,16
49,3.0,9.33373e-11,-2.81376e-12,9,16
